URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
http://docs.opengeospatial.org/per/17-078.html;2018;17-078;http://www.opengis.net/doc/PER/t13-AB001;Testbed-13;OGC Testbed-13: Concepts of Data and Standards for Mass Migration Engineering Report;data;Domains.Mass Migration
http://docs.opengeospatial.org/per/17-038.html;2018;17-038;http://www.opengis.net/doc/PER/t13-DG001;Testbed-13;OGC Testbed-13: Fit-for-Purpose Engineering Report;data, fit-for-purpose;Architecture.Fit-for-Purpose
http://docs.opengeospatial.org/per/17-029r1.html;2018;17-029r1;http://www.opengis.net/doc/PER/t13-NG009;Testbed-13;OGC Testbed-13: Workflows ER;data, security;Architecture.Security, Architecture.Workflows
http://docs.opengeospatial.org/per/17-021.html;2018;17-021;http://www.opengis.net/doc/PER/t13-AB002;Testbed-13;OGC Testbed-13: Security ER;security;Architecture.Security
http://docs.opengeospatial.org/per/17-023.html;2018;17-023;http://www.opengis.net/doc/PER/t13-ES001;Testbed-13;OGC Testbed-13: EP Application Package ER;;Architecture.Cloud, Architecture.BigData, Architecture.Platforms
http://docs.opengeospatial.org/per/17-024.html;2018;17-024;http://www.opengis.net/doc/PER/t13-ES002;Testbed-13;OGC Testbed-13: Application Deployment and Execution Service ER;;Architecture.Cloud, Architecture.BigData, Architecture.Platforms
http://docs.opengeospatial.org/per/17-035.html;2018;17-035;http://www.opengis.net/doc/PER/t13-NR001;Testbed-13;OGC Testbed-13: Cloud ER;cloud;Architecture.Cloud, Architecture.BigData, Architecture.Platforms
http://docs.opengeospatial.org/per/17-027.html;2018;17-027;http://www.opengis.net/doc/PER/t13-UG001;Testbed-13;OGC Testbed-13: GeoPackage Engineering Report;;DataStorage.GeoPackage
http://docs.opengeospatial.org/per/17-037.html;2018;17-037;http://www.opengis.net/doc/PER/t13-NG005;Testbed-13;OGC Testbed-13: SWAP Engineering Report;Apache-Avro, Google-Protobuf;Clients.Communication
http://docs.opengeospatial.org/per/17-028.html;2018;17-028;http://www.opengis.net/doc/PER/t13-NG007;Testbed-13;OGC Testbed-13: Asynchronous Services ER;WFS, pubsub;Clients.Communication, Architecture.AsynchronousCommunication
https://portal.opengeospatial.org/files/?artifact_id=76559&version=1;2017;17-031;http://www.opengis.net/doc/IS/gss/1.0;Testbed-13;OGC Geo-Synchronization Standard ;;Architecture.Synchronization
http://docs.opengeospatial.org/per/17-026r1.html;2018;17-026r1;http://www.opengis.net/doc/PER/t13-NG004;Testbed-13;OGC Testbed-13: Disconnected Networks Engineering Report;compression, pubsub, quality;Clients.DDIL
http://docs.opengeospatial.org/per/17-041.html;2018;17-041;http://www.opengis.net/doc/PER/t13-DS001;Testbed-13;OGC Testbed-13: Vector Tiles Engineering Report;tiles, GeoJSON, TopoJSON;DataModels.Vector Tiling
http://docs.opengeospatial.org/per/17-045.html;2018;17-045;http://www.opengis.net/doc/PER/t13-NG008;Testbed-13;OGC Testbed-13: Portrayal Engineering Report;portrayal;Clients.Portrayal
