URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
https://portal.opengeospatial.org/files/?artifact_id=40441&version=2;2010;10-035r2;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Information Sharing Engineering Report;Atom,OWS Context,Services,KML,Mapping,XML,WMS,Catalog,WFS,GML,;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=40313&version=2;2010;10-036r2;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Motion Video Change Detection;Video,SOS,Services,Architecture,XML,GML,Data Modeling,OM,Catalog,Mapping,;DataModels.Modeling, DataModels.Video
https://portal.opengeospatial.org/files/?artifact_id=40310&version=2;2010;10-059r2;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Web Processing Service Profiling Engineering Report;Profiling,Services,GML,Workflows,Coverage,Mapping,WCPS,Domains,XML,KML,;Services.WPS, DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=39509&version=3;2010;10-060r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Event Architecture Engineering Report;Events,Services,Broker,GML,Messaging,XML,Security,Architecture,Domains,SWE,;Domains.Aviation, DataModels.Aviation, Architecture.Events
https://portal.opengeospatial.org/files/?artifact_id=39513&version=2;2010;10-061r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Dynamic Sensor Notification Engineering Report;SWE,Services,Events,GML,Workflows,Messaging,XML,Architecture,SOS,SensorML,;Architecture.SensorWeb
https://portal.opengeospatial.org/files/?artifact_id=39476&version=3;2011;10-069r2;na;OGC Web Services, Phase 7 (OWS-7);OWS 7 Engineering Report -- Geosynchronization service;Services,XML,Events,Atom,GML,SOAP,REST,OpenSearch,Synchronization,WFS,;Clients.Communication, Architecture.AsynchronousCommuniction
https://portal.opengeospatial.org/files/?artifact_id=39728&version=2;2010;10-073r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 CCSI-SWE Best Practices Engineering Report;SWE,SOS,Services,Messaging,SensorML,Profiling,XML,Events,Architecture,Mapping,;Architecture.SensorWeb
https://portal.opengeospatial.org/files/?artifact_id=40311&version=2;2010;10-074;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Feature and Statistical Analysis Engineering Report;Services,Profiling,Workflows,XML,GML,Architecture,Mapping,WFS,Semantic,;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=40133&version=2;2010;10-079r3;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Aviation Architecture Engineering Report;Events,AIXM,Services,WFS,Aviation,WXXM,GML,Architecture,Aeronautical,Portrayal,;Domains.Aviation, Architecture.Events
https://portal.opengeospatial.org/files/?artifact_id=40334&version=2;2010;10-086r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 - Authoritative Data Source Directory Engineering Report;OpenSearch,Services,CSW,Catalog,Atom,OWS Context,Registries,Semantic,Mapping,XML,;DataModels.Modeling, Semantic.Registries
https://portal.opengeospatial.org/files/?artifact_id=40139&version=2;2010;10-087;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Motion Imagery Discovery and Retrieval Engineering Report;Platforms,Video,XML,SWE,Architecture,Sensor Web,Services,Aviation,Catalog,Registries,;DataModels.Modeling, DataModels.Video
https://portal.opengeospatial.org/files/?artifact_id=50438&version=2;2014;10-088r3;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Schema Automation Engineering Report;KML,NAS,OCL,GML,Conversion,XML,Services,Mapping,Portrayal,Messaging,;DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=40840&version=2;2010;10-094;na;OGC Web Services, Phase 7 (OWS-7);Summary of the OGC Web Services, Phase 7 (OWS-7) Interoperability Testbed;Services,Aviation,AIXM,WXXM,Video,Aeronautical,SWE,Profiling,Workflows,Synchronization,;IP
https://portal.opengeospatial.org/files/?artifact_id=40134&version=2;2010;10-127r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Engineering Report - Aviation Portrayal;Portrayal,Registries,Services,WFS,Coverage,WMS,AIXM,Architecture,Aviation,CSW,;Domains.Aviation, Clients.Portrayal
